0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,8,0,7,1,8,5,2,4,8,9,2,5,0,9,5.073488638973731,0.0,580408139.3145158,756700000.0,0.0,0.0
0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,3,2,4,0,0,10,5,0,1,3,4,2,1,8,0,5,4.833488638973731,25543101.30343511,438679317.7211578,1598200000.0,954.2716434537493,0.0030888472887008007
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,5,7,3,7,5,4,8,4,3,6,1,5,6,6,10,5.073488638973731,0.0,745185105.7682874,687200000.0,0.0,0.0
0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,2,1,3,5,2,2,0,4,5,2,4,3,4,2,10,7,4.953488638973731,1030807.5376680513,503690464.30461526,862300000.0,33.47485130526109,0.00011358347579562335
0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,2,10,7,9,10,7,10,9,9,8,5,8,1,7,8,7,5.193488638973731,0.0,1102117711.0014415,1288500000.0,0.0,0.0
1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,4,4,3,0,0,3,1,7,5,0,8,8,3,3,5,8,4.953488638973731,13278599.89003864,443007815.886132,1164700000.0,632.5596975076287,0.0011259879049744111
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,7,6,4,3,1,4,0,7,4,3,7,9,2,6,7,5.073488638973731,26638424.80202538,615908077.5194677,664100000.0,0.0,0.03516909703629424
1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,5,7,2,10,2,7,7,10,9,0,4,10,3,7,4,5.193488638973731,6330790.159921878,780504540.9613546,1216700000.0,153.19339688363297,0.001192883336308384
1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,3,7,9,1,4,10,9,8,2,3,5,4,6,10,2,9,4.953488638973731,0.0,859204939.5158718,496200000.0,0.0,0.0
0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,4,6,1,2,0,0,6,0,10,6,1,1,6,5,2,4.953488638973731,11471741.764040345,444727037.9702618,1694800000.0,0.0,0.0084035332683275
0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,3,1,0,4,7,2,0,2,9,4,6,3,9,7,1,5,4.833488638973731,0.0,484810871.8488231,1014200000.0,0.0,0.0
1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,4,9,10,5,6,7,3,3,1,10,4,1,2,0,5.193488638973731,88169561.02391425,668714060.0303808,1480800000.0,0.0,0.06055573117495896
1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,10,5,0,4,9,7,7,2,6,9,1,5,1,8,5.073488638973731,19788467.051717326,649283423.9204242,623500000.0,0.0,0.014053527416067895
1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,2,3,1,7,7,9,4,9,6,1,4,3,4,3,5,10,5.193488638973731,16916654.753822517,730272124.1711377,1216700000.0,632.7291534530709,0.001777075770499086
0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,3,1,7,9,7,8,5,1,1,1,2,4,8,6,5.073488638973731,3300547.5486671044,726433869.0977905,438700000.0,0.0,0.0013533083802341394
1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,3,0,9,1,5,1,5,4,4,1,9,3,2,2,6,0,5.073488638973731,11360224.432562267,501206714.0390867,1337900000.0,530.8881753803739,0.0009484039161951105
1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,4,0,5,0,6,8,6,0,1,9,8,5,7,9,2,5.073488638973731,13348395.97620205,549432487.237868,569600000.0,438.0411327441532,0.0014221260929138512
0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,3,8,8,4,7,0,8,4,7,7,1,4,4,5,4,9,5.073488638973731,2501383.7191186156,725099533.5736219,687200000.0,125.36478970356792,0.00012169182539204182
1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,1,4,2,7,9,2,8,0,1,7,2,4,2,8,4.999444921430909,9817480.422297765,585062072.0531635,710400000.0,192.0945174640615,0.003029292755947074
0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,4,1,7,0,2,6,2,3,6,7,10,1,10,3,2,5.193488638973731,29337536.001497492,559069272.4378359,929900000.0,578.6684755471513,0.007554269585600586
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,8,10,1,4,5,10,5,5,8,4,1,3,10,3,5.193488638973731,13767172.493182521,814760251.9708471,776300000.0,0.0,0.010066489087259165
